age,workclass,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,income
39,gov,13,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,0
50,self,13,Married,Exec-managerial,Husband,White,Male,13,United-States,0
38,private,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,40,United-States,0
53,private,7,Married,Handlers-cleaners,Husband,Black,Male,40,United-States,0
28,private,13,Married,Prof-specialty,Wife,Black,Female,40,Cuba,0
37,private,14,Married,Exec-managerial,Wife,White,Female,40,United-States,0
49,private,5,Married,Other-service,Not-in-family,Black,Female,16,Jamaica,0
52,self,9,Married,Exec-managerial,Husband,White,Male,45,United-States,1
31,private,14,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,1
42,private,13,Married,Exec-managerial,Husband,White,Male,40,United-States,1
37,private,10,Married,Exec-managerial,Husband,Black,Male,80,United-States,1
30,gov,13,Married,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,India,1
23,private,13,Never-married,Adm-clerical,Own-child,White,Female,30,United-States,0
32,private,12,Never-married,Sales,Not-in-family,Black,Male,50,United-States,0
40,private,11,Married,Craft-repair,Husband,Asian-Pac-Islander,Male,40,?,1
34,private,4,Married,Transport-moving,Husband,Amer-Indian-Eskimo,Male,45,Mexico,0
25,self,9,Never-married,Farming-fishing,Own-child,White,Male,35,United-States,0
32,private,9,Never-married,Machine-op-inspct,Unmarried,White,Male,40,United-States,0
38,private,7,Married,Sales,Husband,White,Male,50,United-States,0
43,self,14,Divorced,Exec-managerial,Unmarried,White,Female,45,United-States,1
40,private,16,Married,Prof-specialty,Husband,White,Male,60,United-States,1
54,private,9,Separated,Other-service,Unmarried,Black,Female,20,United-States,0
35,gov,5,Married,Farming-fishing,Husband,Black,Male,40,United-States,0
43,private,7,Married,Transport-moving,Husband,White,Male,40,United-States,0
59,private,9,Divorced,Tech-support,Unmarried,White,Female,40,United-States,0
56,gov,13,Married,Tech-support,Husband,White,Male,40,United-States,1
19,private,9,Never-married,Craft-repair,Own-child,White,Male,40,United-States,0
54,?,10,Married,?,Husband,Asian-Pac-Islander,Male,60,South,1
39,private,9,Divorced,Exec-managerial,Not-in-family,White,Male,80,United-States,0
49,private,9,Married,Craft-repair,Husband,White,Male,40,United-States,0
23,gov,12,Never-married,Protective-serv,Not-in-family,White,Male,52,United-States,0
20,private,10,Never-married,Sales,Own-child,Black,Male,44,United-States,0
45,private,13,Divorced,Exec-managerial,Own-child,White,Male,40,United-States,0
30,gov,10,Married,Adm-clerical,Own-child,White,Male,40,United-States,0
22,gov,10,Married,Other-service,Husband,Black,Male,15,United-States,0
48,private,7,Never-married,Machine-op-inspct,Unmarried,White,Male,40,Puerto-Rico,0
21,private,10,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,0
19,private,9,Married,Adm-clerical,Wife,White,Female,25,United-States,0
31,private,10,Married,Sales,Husband,White,Male,38,?,1
48,self,12,Married,Prof-specialty,Husband,White,Male,40,United-States,0
31,private,5,Married,Machine-op-inspct,Husband,White,Male,43,United-States,0
53,self,13,Married,Prof-specialty,Husband,White,Male,40,United-States,0
24,private,13,Married,Tech-support,Husband,White,Male,50,United-States,0
49,private,9,Separated,Adm-clerical,Unmarried,White,Female,40,United-States,0
25,private,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,35,United-States,0
57,gov,13,Married,Prof-specialty,Husband,Black,Male,40,United-States,1
53,private,9,Married,Machine-op-inspct,Husband,White,Male,38,United-States,0
44,private,14,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,0
41,gov,11,Married,Craft-repair,Husband,White,Male,40,United-States,0
29,private,11,Never-married,Prof-specialty,Not-in-family,White,Male,43,United-States,0
25,private,10,Married,Exec-managerial,Wife,Other,Female,40,United-States,0
18,private,9,Never-married,Other-service,Own-child,White,Female,30,?,0
47,private,15,Married,Prof-specialty,Wife,White,Female,60,Honduras,1
50,gov,13,Divorced,Exec-managerial,Not-in-family,White,Male,55,United-States,1
47,self,9,Divorced,Exec-managerial,Not-in-family,White,Male,60,United-States,0
43,private,10,Married,Tech-support,Husband,White,Male,40,United-States,1
46,private,3,Married,Machine-op-inspct,Husband,White,Male,40,Mexico,0
35,private,11,Married,Other-service,Husband,White,Male,40,Puerto-Rico,0
41,private,9,Married,Adm-clerical,Husband,White,Male,48,United-States,0
30,private,9,Married,Machine-op-inspct,Husband,White,Male,40,United-States,0
30,private,13,Married,Sales,Husband,White,Male,40,United-States,0
32,?,4,Married,?,Not-in-family,White,Male,40,?,0
48,private,9,Married,Transport-moving,Husband,White,Male,40,United-States,0
42,private,16,Married,Prof-specialty,Husband,White,Male,45,United-States,1
29,private,10,Divorced,Tech-support,Not-in-family,White,Male,58,United-States,0
36,private,9,Married,Craft-repair,Husband,White,Male,40,United-States,0
28,private,10,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,0
53,private,9,Married,Adm-clerical,Wife,White,Female,40,United-States,1
49,self,10,Married,Exec-managerial,Husband,White,Male,50,United-States,1
25,?,10,Never-married,?,Own-child,White,Male,40,United-States,0
19,private,10,Never-married,Prof-specialty,Own-child,White,Male,32,United-States,0
31,private,13,Separated,Sales,Own-child,Black,Female,40,United-States,0
29,self,13,Married,Sales,Husband,White,Male,70,United-States,1
23,private,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,0
79,private,10,Married,Prof-specialty,Other-relative,White,Male,20,United-States,0
27,private,9,Never-married,Other-service,Own-child,White,Male,40,Mexico,0
40,private,12,Married,Adm-clerical,Husband,White,Male,40,United-States,0
67,?,6,Married,?,Husband,White,Male,2,United-States,0
18,private,7,Never-married,Other-service,Own-child,White,Female,22,United-States,0
31,gov,4,Married,Farming-fishing,Husband,White,Male,40,United-States,0
18,private,9,Never-married,Sales,Not-in-family,White,Male,30,United-States,0
52,private,13,Married,Other-service,Husband,White,Male,40,Cuba,0
46,private,9,Married,Other-service,Wife,White,Female,40,United-States,0
59,private,9,Married,Sales,Husband,White,Male,48,United-States,0
44,private,9,Divorced,Craft-repair,Not-in-family,White,Female,40,United-States,1
53,private,9,Divorced,Sales,Own-child,White,Female,35,United-States,0
49,gov,9,Married,Protective-serv,Husband,White,Male,40,United-States,1
33,private,14,Married,Prof-specialty,Husband,White,Male,50,United-States,0
30,private,5,Never-married,Sales,Not-in-family,White,Male,40,United-States,0
43,gov,16,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,1
57,private,11,Married,Prof-specialty,Husband,White,Male,40,United-States,0
37,private,10,Divorced,Craft-repair,Unmarried,White,Female,40,United-States,0
28,private,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,25,United-States,0
30,private,9,Married,Sales,Wife,Asian-Pac-Islander,Female,35,?,0
34,gov,13,Married,Protective-serv,Husband,White,Male,40,United-States,1
29,gov,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,50,United-States,0
48,self,16,Married,Prof-specialty,Husband,White,Male,60,United-States,1
37,private,10,Married,Sales,Husband,White,Male,48,United-States,1
48,private,12,Divorced,Exec-managerial,Unmarried,White,Female,40,England,0
32,gov,9,Never-married,Other-service,Own-child,Black,Male,40,United-States,0
76,private,14,Married,Exec-managerial,Husband,White,Male,40,United-States,1
44,private,13,Married,Exec-managerial,Husband,White,Male,60,United-States,1
47,self,14,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,0
20,private,10,Never-married,Tech-support,Own-child,White,Female,40,United-States,0
29,private,9,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,0
32,self,9,Married,Craft-repair,Husband,White,Male,40,United-States,1
17,?,6,Never-married,?,Own-child,White,Female,32,United-States,0
30,private,7,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,0
31,gov,9,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,0
42,private,9,Married,Handlers-cleaners,Husband,White,Male,40,United-States,0
24,private,13,Never-married,Sales,Other-relative,White,Male,40,United-States,0
38,private,15,Married,Prof-specialty,Husband,White,Male,40,United-States,1
