AGEP,SCHL,MAR,SEX,DIS,ESP,CIT,MIL,ANC,NATIVITY,RELP,DEAR,DEYE,DREM,RAC1P,GCL,COW,ESR,WKHP,JWMNP,PINCP,mobility
20,16,5,1,2,0,1,2,2,1,17,2,2,2,9,0,1,6,40,0,4900,0
26,18,4,1,2,0,1,4,1,1,16,2,2,2,2,0,1,6,0,0,0,0
33,16,5,2,2,0,1,4,4,1,17,2,2,2,2,2,0,6,0,0,0,0
21,19,5,1,2,0,1,4,2,1,17,2,2,2,1,0,1,6,0,0,8000,1
23,16,5,2,1,0,1,4,1,1,17,2,2,1,2,0,0,6,0,0,15300,1
19,18,5,2,2,0,1,4,1,1,17,2,2,2,1,0,0,6,0,0,0,0
19,18,5,1,2,0,1,4,4,1,17,2,2,2,1,0,0,6,0,0,0,0
24,17,5,1,2,0,1,4,1,1,16,2,2,2,1,0,7,6,0,0,0,1
27,19,5,1,2,0,1,4,1,1,16,2,2,2,2,0,1,6,0,0,0,0
30,11,5,1,2,0,1,4,1,1,16,2,2,2,1,2,0,6,0,0,0,0
25,20,5,1,2,0,1,1,2,1,17,2,2,2,1,0,5,4,50,10,6010,0
27,17,1,2,2,0,4,4,1,2,17,2,2,2,1,0,2,1,65,7,56000,1
22,16,5,1,2,0,1,4,1,1,16,2,2,2,2,0,1,6,40,0,33000,0
21,19,5,2,2,0,1,4,2,1,17,2,2,2,1,0,0,6,0,0,0,1
21,12,5,2,2,0,1,4,1,1,16,2,2,2,2,0,0,6,0,0,0,1
22,14,5,1,1,0,1,4,4,1,16,2,2,1,2,0,1,6,0,0,0,1
27,14,5,1,1,0,1,4,1,1,16,2,2,1,8,0,0,6,0,0,0,0
19,20,5,2,2,0,1,4,2,1,17,2,2,2,1,0,2,1,40,3,3400,1
32,19,5,1,2,0,1,4,2,1,16,2,2,2,1,2,1,6,60,0,40000,0
19,19,5,1,1,0,1,4,2,1,17,2,2,1,1,0,1,1,25,10,10000,0
21,19,5,2,2,0,1,4,2,1,17,2,2,2,1,0,1,1,4,20,3500,0
26,16,5,2,2,0,1,4,1,1,16,2,2,2,3,0,1,6,40,0,40000,0
27,16,5,2,2,0,1,4,1,1,16,2,2,2,2,0,1,6,0,0,0,0
20,19,5,2,2,0,1,4,4,1,17,2,2,2,1,0,1,6,40,0,500,1
19,19,5,2,2,0,1,4,4,1,17,2,2,2,1,0,0,6,0,0,0,0
31,17,5,1,1,0,1,4,1,1,16,2,1,2,2,2,0,6,0,0,0,1
24,1,5,1,1,0,1,4,4,1,17,2,2,1,2,0,0,6,0,0,9000,1
19,18,5,1,2,0,1,4,1,1,17,2,2,2,1,0,0,6,0,0,0,0
30,16,5,1,2,0,1,4,1,1,16,2,2,2,2,2,0,6,0,0,0,1
34,9,5,1,2,0,1,4,1,1,16,2,2,2,1,2,1,6,60,0,36000,0
19,18,5,1,2,0,1,4,2,1,17,2,2,2,1,0,1,6,20,0,3700,0
21,19,5,2,2,0,1,4,1,1,17,2,2,2,2,0,5,6,40,0,4000,0
34,13,5,1,1,0,4,4,1,2,16,2,2,1,9,2,0,6,0,0,0,1
19,19,5,2,2,0,1,4,1,1,17,2,2,2,1,0,0,6,0,0,0,1
20,19,1,1,2,0,1,1,1,1,17,2,2,2,1,0,5,4,52,15,25700,0
27,16,1,1,2,0,1,4,1,1,16,2,2,2,2,0,1,6,60,0,6000,0
19,19,5,1,2,0,1,4,2,1,17,2,2,2,1,0,3,6,20,0,2000,0
23,19,5,2,2,0,5,4,2,2,17,2,2,2,1,0,4,1,20,0,7500,1
21,13,5,1,2,0,1,4,1,1,16,2,2,2,2,0,1,6,0,0,0,1
24,16,5,1,2,0,1,4,1,1,16,2,2,2,2,0,1,6,78,0,15000,0
19,19,5,2,2,0,1,4,4,1,17,2,2,2,1,0,0,6,0,0,0,0
20,14,5,1,2,0,1,4,4,1,16,2,2,2,2,0,0,6,0,0,0,0
19,16,5,1,2,0,1,1,1,1,17,2,2,2,1,0,5,4,50,0,13000,1
34,17,1,1,2,0,1,4,2,1,16,2,2,2,1,2,0,6,0,0,0,1
21,16,5,1,2,0,1,4,1,1,17,2,2,2,1,0,1,6,30,0,16800,1
19,19,5,1,1,0,3,4,1,1,17,2,1,2,2,0,1,1,40,15,21900,1
19,14,5,1,1,0,1,4,1,1,16,2,2,1,2,0,0,6,0,0,0,1
28,13,5,1,2,0,1,4,4,1,16,2,2,2,1,0,0,6,0,0,0,0
29,17,5,1,1,0,1,4,2,1,16,2,2,1,1,0,1,6,0,0,0,0
32,18,5,1,2,0,1,4,2,1,16,2,2,2,1,2,1,6,0,0,0,0
21,19,5,1,2,0,1,4,2,1,17,2,2,2,1,0,1,6,0,0,0,1
24,17,5,1,2,0,1,4,1,1,16,2,2,2,1,0,1,6,40,0,8000,0
21,18,5,1,2,0,1,4,4,1,17,2,2,2,1,0,1,1,8,0,1500,1
27,17,5,1,2,0,1,4,1,1,16,2,2,2,2,0,0,6,0,0,0,1
30,17,5,1,2,0,1,4,4,1,16,2,2,2,1,2,1,6,40,0,3200,0
