Data,Method,Models,Initial Disagreement,Final Disagreement,Initial Brier,Final Brier,Theorem 3.1,T1,T2,Brier Scores
National_Study_Data,different data,S_learner,0.907,0.0,"[0.094, 0.106]","[0.092, 0.092]",1. 12 <= 184000.0 |2. 0.092 <= 0.094 and 0.092 <= 0.106 |3. 0.0 < 0.01,7,5,"[[0.094, 0.106], [0.084, 0.106], [0.078, 0.106], [0.078, 0.09], [0.086, 0.09], [0.086, 0.087], [0.086, 0.088], [0.086, 0.088], [0.095, 0.088], [0.095, 0.09], [0.092, 0.09], [0.092, 0.092], [0.092, 0.092]]"
National_Study_Data,different data,T_learner,0.919,0.012,"[0.156, 0.128]","[0.108, 0.107]",1. 11 <= 215000.0 |2. 0.108 <= 0.156 and 0.107 <= 0.128 |3. 0.012 < 0.01,4,7,"[[0.156, 0.128], [0.134, 0.128], [0.134, 0.114], [0.108, 0.114], [0.108, 0.108], [0.108, 0.103], [0.109, 0.103], [0.109, 0.103], [0.109, 0.105], [0.109, 0.107], [0.109, 0.107], [0.108, 0.107]]"
National_Study_Data,different data,X_learner,0.919,0.012,"[0.156, 0.154]","[0.121, 0.119]",1. 12 <= 240000.0 |2. 0.121 <= 0.156 and 0.119 <= 0.154 |3. 0.012 < 0.01,7,5,"[[0.156, 0.154], [0.126, 0.154], [0.114, 0.154], [0.114, 0.125], [0.116, 0.125], [0.123, 0.125], [0.123, 0.124], [0.123, 0.124], [0.122, 0.124], [0.122, 0.119], [0.122, 0.119], [0.121, 0.119], [0.121, 0.119]]"
National_Study_Data,different data,Tree,0.849,0.0,"[0.07, 0.075]","[0.068, 0.068]",1. 8 <= 136000.0 |2. 0.068 <= 0.07 and 0.068 <= 0.075 |3. 0.0 < 0.01,3,5,"[[0.07, 0.075], [0.07, 0.066], [0.07, 0.068], [0.067, 0.068], [0.067, 0.066], [0.067, 0.069], [0.069, 0.069], [0.068, 0.069], [0.068, 0.068]]"
National_Study_Data,different models,"['R_learner', 'S_learner']",0.0,0.0,"[0.078, 0.078]","[0.078, 0.078]",1. 0 <= 156000.0 |2. 0.078 <= 0.078 and 0.078 <= 0.078 |3. 0.0 < 0.01,0,0,"[[0.078, 0.078]]"
National_Study_Data,different models,"['R_learner', 'T_learner']",0.674,0.0,"[0.072, 0.096]","[0.077, 0.078]",1. 8 <= 155000.0 |2. 0.077 <= 0.072 and 0.078 <= 0.096 |3. 0.0 < 0.01,4,4,"[[0.072, 0.096], [0.072, 0.082], [0.072, 0.086], [0.072, 0.08], [0.077, 0.08], [0.084, 0.08], [0.08, 0.08], [0.077, 0.08], [0.077, 0.078]]"
National_Study_Data,different models,"['R_learner', 'Forest']",0.756,0.012,"[0.061, 0.059]","[0.059, 0.058]",1. 7 <= 117000.0 |2. 0.059 <= 0.061 and 0.058 <= 0.059 |3. 0.012 < 0.01,4,3,"[[0.061, 0.059], [0.062, 0.059], [0.062, 0.059], [0.061, 0.059], [0.061, 0.057], [0.061, 0.057], [0.061, 0.058], [0.059, 0.058]]"
National_Study_Data,different models,"['S_learner', 'T_learner']",0.721,0.0,"[0.062, 0.085]","[0.071, 0.069]",1. 9 <= 140000.0 |2. 0.071 <= 0.062 and 0.069 <= 0.085 |3. 0.0 < 0.01,4,5,"[[0.062, 0.085], [0.062, 0.079], [0.062, 0.07], [0.069, 0.07], [0.069, 0.069], [0.069, 0.069], [0.071, 0.069], [0.071, 0.069], [0.071, 0.069], [0.071, 0.069]]"
National_Study_Data,different models,"['S_learner', 'Tree']",0.791,0.012,"[0.07, 0.076]","[0.067, 0.066]",1. 9 <= 133000.0 |2. 0.067 <= 0.07 and 0.066 <= 0.076 |3. 0.012 < 0.01,5,4,"[[0.07, 0.076], [0.07, 0.067], [0.069, 0.067], [0.069, 0.065], [0.069, 0.065], [0.069, 0.066], [0.067, 0.066], [0.069, 0.066], [0.068, 0.066], [0.067, 0.066]]"
National_Study_Data,different models,"['S_learner', 'Forest']",0.721,0.0,"[0.069, 0.067]","[0.07, 0.069]",1. 8 <= 139000.0 |2. 0.07 <= 0.069 and 0.069 <= 0.067 |3. 0.0 < 0.01,4,4,"[[0.069, 0.067], [0.069, 0.068], [0.068, 0.068], [0.07, 0.068], [0.07, 0.068], [0.07, 0.069], [0.07, 0.069], [0.07, 0.07], [0.07, 0.069]]"
National_Study_Data,different models,"['T_learner', 'X_learner']",0.477,0.0,"[0.097, 0.085]","[0.088, 0.087]",1. 5 <= 175000.0 |2. 0.088 <= 0.097 and 0.087 <= 0.085 |3. 0.0 < 0.01,3,2,"[[0.097, 0.085], [0.093, 0.085], [0.093, 0.085], [0.093, 0.09], [0.088, 0.09], [0.088, 0.087]]"
National_Study_Data,different models,"['X_learner', 'Tree']",0.791,0.012,"[0.077, 0.08]","[0.076, 0.078]",1. 13 <= 154000.0 |2. 0.076 <= 0.077 and 0.078 <= 0.08 |3. 0.012 < 0.01,8,5,"[[0.077, 0.08], [0.077, 0.08], [0.077, 0.082], [0.073, 0.082], [0.073, 0.078], [0.075, 0.078], [0.077, 0.078], [0.075, 0.078], [0.075, 0.08], [0.077, 0.08], [0.078, 0.08], [0.078, 0.08], [0.076, 0.08], [0.076, 0.078]]"
Twin_Data,different data,R_learner,0.137,0.0,"[0.031, 0.031]","[0.029, 0.03]",1. 3 <= 59000.0 |2. 0.029 <= 0.031 and 0.03 <= 0.031 |3. 0.0 < 0.01,2,1,"[[0.031, 0.031], [0.029, 0.031], [0.029, 0.03], [0.029, 0.03]]"
Twin_Data,different data,S_learner,0.158,0.0,"[0.03, 0.031]","[0.029, 0.029]",1. 3 <= 58000.0 |2. 0.029 <= 0.03 and 0.029 <= 0.031 |3. 0.0 < 0.01,1,2,"[[0.03, 0.031], [0.029, 0.031], [0.029, 0.029], [0.029, 0.029]]"
