Data,Method,Models,Initial Disagreement,Final Disagreement,Initial Brier,Final Brier,Theorem 3.1,T1,T2,Brier Scores
Twin,Different_Models,"[t_learner,x_learner]",0.129,0.0,"[0.011, 0.011]","[0.011, 0.011]",1. 3 <= 22000.0 |2. 0.011 <= 0.011 and 0.011 <= 0.011 |3. 0.0 < 0.01,1,2,"[[0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011]]"
Twin,Different_Models,"[t_learner,x_learner]",0.155,0.006,"[0.014, 0.014]","[0.013, 0.013]",1. 3 <= 26000.0 |2. 0.013 <= 0.014 and 0.013 <= 0.014 |3. 0.006 < 0.01,1,2,"[[0.014, 0.014], [0.014, 0.013], [0.013, 0.013], [0.013, 0.013]]"
Twin,Different_Models,"[t_learner,x_learner]",0.135,0.006,"[0.013, 0.012]","[0.012, 0.012]",1. 3 <= 24000.0 |2. 0.012 <= 0.013 and 0.012 <= 0.012 |3. 0.006 < 0.01,1,2,"[[0.013, 0.012], [0.013, 0.011], [0.012, 0.011], [0.012, 0.012]]"
Twin,Different_Models,"[t_learner,x_learner]",0.148,0.006,"[0.015, 0.014]","[0.014, 0.014]",1. 3 <= 28000.0 |2. 0.014 <= 0.015 and 0.014 <= 0.014 |3. 0.006 < 0.01,1,2,"[[0.015, 0.014], [0.014, 0.014], [0.014, 0.014], [0.014, 0.014]]"
Twin,Different_Models,"[t_learner,x_learner]",0.11,0.148,"[0.011, 0.01]","[0.011, 0.01]",1. 51 <= 21000.0 |2. 0.011 <= 0.011 and 0.01 <= 0.01 |3. 0.148 < 0.01,0,51,"[[0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01], [0.011, 0.01]]"
Twin,Different_Models,"[t_learner,x_learner]",0.148,0.0,"[0.015, 0.013]","[0.014, 0.013]",1. 2 <= 27000.0 |2. 0.014 <= 0.015 and 0.013 <= 0.013 |3. 0.0 < 0.01,1,1,"[[0.015, 0.013], [0.014, 0.013], [0.014, 0.013]]"
Twin,Different_Models,"[t_learner,x_learner]",0.206,0.006,"[0.017, 0.016]","[0.015, 0.015]",1. 3 <= 30000.0 |2. 0.015 <= 0.017 and 0.015 <= 0.016 |3. 0.006 < 0.01,2,1,"[[0.017, 0.016], [0.015, 0.016], [0.015, 0.015], [0.015, 0.015]]"
Twin,Different_Models,"[t_learner,x_learner]",0.155,0.077,"[0.018, 0.018]","[0.017, 0.018]",1. 51 <= 35000.0 |2. 0.017 <= 0.018 and 0.018 <= 0.018 |3. 0.077 < 0.01,51,0,"[[0.018, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018], [0.017, 0.018]]"
Twin,Different_Models,"[t_learner,x_learner]",0.181,0.0,"[0.015, 0.014]","[0.013, 0.014]",1. 3 <= 27000.0 |2. 0.013 <= 0.015 and 0.014 <= 0.014 |3. 0.0 < 0.01,2,1,"[[0.015, 0.014], [0.013, 0.014], [0.013, 0.014], [0.013, 0.014]]"
Twin,Different_Models,"[t_learner,x_learner]",0.187,0.0,"[0.02, 0.018]","[0.016, 0.016]",1. 2 <= 32000.0 |2. 0.016 <= 0.02 and 0.016 <= 0.018 |3. 0.0 < 0.01,1,1,"[[0.02, 0.018], [0.016, 0.018], [0.016, 0.016]]"
Twin,Different_Models,"[t_learner,x_learner]",0.142,0.019,"[0.012, 0.012]","[0.011, 0.011]",1. 2 <= 22000.0 |2. 0.011 <= 0.012 and 0.011 <= 0.012 |3. 0.019 < 0.01,1,1,"[[0.012, 0.012], [0.011, 0.012], [0.011, 0.011]]"
Twin,Different_Models,"[t_learner,x_learner]",0.135,0.026,"[0.011, 0.011]","[0.011, 0.011]",1. 51 <= 22000.0 |2. 0.011 <= 0.011 and 0.011 <= 0.011 |3. 0.026 < 0.01,51,0,"[[0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011], [0.011, 0.011]]"
Twin,Different_Models,"[t_learner,x_learner]",0.161,0.0,"[0.013, 0.012]","[0.012, 0.012]",1. 3 <= 24000.0 |2. 0.012 <= 0.013 and 0.012 <= 0.012 |3. 0.0 < 0.01,2,1,"[[0.013, 0.012], [0.012, 0.012], [0.012, 0.012], [0.012, 0.012]]"
