Data,Method,Models,Initial Disagreement,Final Disagreement,Initial Brier,Final Brier,Theorem 3.1,T1,T2,Brier Scores
German_Data,different data,LogisticRegression,0.19,0.035,"[0.172, 0.175]","[0.173, 0.174]",1. 2 <= 2776.0 |2. 0.173 <= 0.172 and 0.174 <= 0.175 |3. 0.035 < 0.05,1,1,"[[0.172, 0.175], [0.172, 0.174], [0.173, 0.174]]"
German_Data,different data,KNeighborsClassifier,0.25,0.02,"[0.198, 0.218]","[0.207, 0.209]",1. 3 <= 3328.0 |2. 0.207 <= 0.198 and 0.209 <= 0.218 |3. 0.02 < 0.05,1,2,"[[0.198, 0.218], [0.198, 0.21], [0.207, 0.21], [0.207, 0.209]]"
German_Data,different data,DecisionTreeClassifier,0.38,0.0,"[0.315, 0.365]","[0.234, 0.234]",1. 4 <= 3744.0 |2. 0.234 <= 0.315 and 0.234 <= 0.365 |3. 0.0 < 0.05,2,2,"[[0.315, 0.365], [0.315, 0.252], [0.252, 0.252], [0.252, 0.234], [0.234, 0.234]]"
German_Data,different features,LogisticRegression,0.285,0.045,"[0.189, 0.17]","[0.181, 0.17]",1. 2 <= 2808.0 |2. 0.181 <= 0.189 and 0.17 <= 0.17 |3. 0.045 < 0.05,1,1,"[[0.189, 0.17], [0.181, 0.17], [0.181, 0.17]]"
German_Data,different features,KNeighborsClassifier,0.36,0.02,"[0.194, 0.233]","[0.194, 0.199]",1. 4 <= 3144.0 |2. 0.194 <= 0.194 and 0.199 <= 0.232 |3. 0.02 < 0.05,0,4,"[[0.194, 0.233], [0.194, 0.215], [0.194, 0.196], [0.194, 0.196], [0.194, 0.199]]"
German_Data,different features,DecisionTreeClassifier,0.41,0.0,"[0.355, 0.365]","[0.256, 0.256]",1. 4 <= 4096.0 |2. 0.256 <= 0.355 and 0.256 <= 0.365 |3. 0.0 < 0.05,2,2,"[[0.355, 0.365], [0.355, 0.294], [0.282, 0.294], [0.282, 0.256], [0.256, 0.256]]"
German,different models,"['LogisticRegression', 'KNeighborsClassifier']",0.34,0.035,"[0.168, 0.215]","[0.169, 0.182]",1. 3 <= 2808.0 |2. 0.169 <= 0.168 and 0.182 <= 0.215 |3. 0.035 < 0.05,1,2,"[[0.168, 0.215], [0.168, 0.195], [0.168, 0.182], [0.169, 0.182]]"
Folk_Income_Data,different data,KNeighborsClassifier,0.239,0.048,"[0.168, 0.17]","[0.162, 0.164]",1. 2 <= 2608.0 |2. 0.162 <= 0.168 and 0.164 <= 0.17 |3. 0.048 < 0.05,1,1,"[[0.168, 0.17], [0.168, 0.164], [0.162, 0.164]]"
Folk_Income_Data,different data,DecisionTreeClassifier,0.28,0.0,"[0.264, 0.26]","[0.191, 0.191]",1. 4 <= 3056.0 |2. 0.191 <= 0.264 and 0.191 <= 0.26 |3. 0.0 < 0.05,2,2,"[[0.264, 0.26], [0.218, 0.26], [0.218, 0.216], [0.191, 0.216], [0.191, 0.191]]"
Folk_Income_Data,different features,LogisticRegression,0.337,0.02,"[0.174, 0.164]","[0.16, 0.16]",1. 4 <= 2560.0 |2. 0.16 <= 0.174 and 0.16 <= 0.164 |3. 0.02 < 0.05,2,2,"[[0.174, 0.164], [0.166, 0.164], [0.16, 0.164], [0.16, 0.162], [0.16, 0.16]]"
Folk_Income_Data,different features,KNeighborsClassifier,0.406,0.034,"[0.17, 0.207]","[0.16, 0.163]",1. 5 <= 2584.0 |2. 0.16 <= 0.17 and 0.163 <= 0.207 |3. 0.034 < 0.05,2,3,"[[0.17, 0.207], [0.17, 0.185], [0.17, 0.165], [0.163, 0.165], [0.16, 0.165], [0.16, 0.163]]"
Folk_Income_Data,different features,DecisionTreeClassifier,0.626,0.0,"[0.22, 0.257]","[0.183, 0.181]",1. 6 <= 2912.0 |2. 0.183 <= 0.22 and 0.181 <= 0.257 |3. 0.0 < 0.05,3,3,"[[0.22, 0.257], [0.22, 0.208], [0.22, 0.183], [0.202, 0.183], [0.187, 0.183], [0.183, 0.183], [0.183, 0.181]]"
Folk_Income,different models,"['LogisticRegression', 'KNeighborsClassifier']",0.285,0.043,"[0.145, 0.165]","[0.145, 0.148]",1. 2 <= 2344.0 |2. 0.145 <= 0.145 and 0.148 <= 0.165 |3. 0.043 < 0.05,0,2,"[[0.145, 0.165], [0.145, 0.156], [0.145, 0.148]]"
Folk_Travel_Data,different data,KNeighborsClassifier,0.386,0.017,"[0.263, 0.261]","[0.248, 0.247]",1. 4 <= 3960.0 |2. 0.248 <= 0.263 and 0.247 <= 0.261 |3. 0.017 < 0.05,2,2,"[[0.263, 0.261], [0.263, 0.251], [0.252, 0.251], [0.248, 0.251], [0.248, 0.247]]"
Folk_Travel_Data,different data,DecisionTreeClassifier,0.419,0.0,"[0.408, 0.396]","[0.298, 0.298]",1. 4 <= 4768.0 |2. 0.298 <= 0.408 and 0.298 <= 0.396 |3. 0.0 < 0.05,2,2,"[[0.408, 0.396], [0.355, 0.396], [0.298, 0.396], [0.298, 0.349], [0.298, 0.298]]"
Folk_Travel_Data,different features,LogisticRegression,0.106,0.002,"[0.233, 0.248]","[0.233, 0.234]",1. 1 <= 3736.0 |2. 0.233 <= 0.233 and 0.234 <= 0.248 |3. 0.002 < 0.05,0,1,"[[0.233, 0.248], [0.233, 0.234]]"
Folk_Travel_Data,different features,KNeighborsClassifier,0.498,0.048,"[0.251, 0.298]","[0.244, 0.25]",1. 4 <= 3952.0 |2. 0.244 <= 0.251 and 0.25 <= 0.298 |3. 0.048 < 0.05,2,2,"[[0.251, 0.298], [0.251, 0.27], [0.251, 0.25], [0.247, 0.25], [0.244, 0.25]]"
