Data,MSE for different groups,Method
Adult_Data,"[[0.09200525739895696, 0.13730636818947453, 0.08012962286623579, 0.08368284220545848, 0.14695773402502973], [0.08716367098205988, 0.12771900924959717, 0.0829650069241271, 0.07501843402971027, 0.1430409848374672], [0.08897138876670217, 0.11878536849545068, 0.06428778077658259, 0.06656798785681389, 0.13907029177298685], [0.09008754688585517, 0.11877627856952909, 0.06268893639320297, 0.06642118326827377, 0.13984780657189075], [0.12426666666666669, 0.14698366606170601, 0.1325, 0.10528735632183908, 0.1789803921568628], [0.14074074074074075, 0.16104053236539626, 0.140625, 0.11202335340266376, 0.18300653594771243], [0.11708007216498252, 0.13211765580903292, 0.05635189310747585, 0.07025377161025957, 0.1689411424817724], [0.08277959590717, 0.12137151810832165, 0.09053092712296386, 0.06788175246147668, 0.1319743755280745], [0.23670190880196534, 0.2381725045640407, 0.23341216835463113, 0.23334963603544015, 0.24034507984209616]]",original
Adult_Data,"[0.11312537009658184, 0.14236349520173683, 0.1131609375, 0.09236399948616557, 0.15163657994339713]",mode
Adult_Data,"[0.10351142248074648, 0.14554455739370184, 0.11514743262528804, 0.08521455437359247, 0.16191052147414225]",randomized
Adult_Data,"[0.14074074074074075, 0.16104053236539626, 0.140625, 0.11202335340266376, 0.18300653594771243]",random_selection
Adult_Data,"[0.09030499460002749, 0.12443942186205942, 0.07346758582919874, 0.06668975092041317, 0.1426359579071752]",reconcile
Folk_Income_Data,"[[0.14429423073890343, 0.11348340324384788, 0.10362693661971832, 0.12218749999999999, 0.10485922404140519, 0.13107713438575186, 0.022130769230769228, 0.11812666666666664, 0.21856666666666666], [0.14911943015523968, 0.12096757784173583, 0.10638836393456808, 0.13205419440692565, 0.10739800093740692, 0.14073478284564758, 0.03156883572704015, 0.13440647921582768, 0.1425918463587711], [0.14074844058312075, 0.11403928462116986, 0.10250831631456793, 0.13220106166225135, 0.10115549283572371, 0.13603058186834951, 0.017192949564982844, 0.12628355490921975, 0.12020083492022231], [0.1408645098704969, 0.11390180718306644, 0.10213155365109175, 0.1290024437127219, 0.10131159610437053, 0.13345208888781074, 0.015760156785663247, 0.1279197622445924, 0.09598704172619082], [0.17128224582701065, 0.16250559284116334, 0.14232394366197185, 0.21250000000000002, 0.13186513017498933, 0.16706739526411657, 0.12000000000000001, 0.16933333333333334, 0.13333333333333333], [0.1533526492028839, 0.11758638427239036, 0.11171043489956714, 0.13416798017500411, 0.1128782637411483, 0.15748067965230403, 0.034562453543867395, 0.14204770865418878, 0.155820225287249], [0.15216316936262875, 0.12737667049928272, 0.11174887846736598, 0.15411595749002138, 0.10978396635308107, 0.15097523741432006, 0.03314025013732667, 0.1412830301788777, 3.866518979261448e-06], [0.2424193445066081, 0.23787051955687608, 0.23876198841708354, 0.2377069306250401, 0.23877840721881247, 0.2419295670024749, 0.23472697799840864, 0.24260504706942948, 0.23528095061814613]]",original
Folk_Income_Data,"[0.14458392893819244, 0.11315678131991053, 0.1042730633802817, 0.12218749999999999, 0.10462678699488362, 0.13155272637117993, 0.021361538461538456, 0.11812666666666664, 0.21843333333333334]",mode
Folk_Income_Data,"[0.16062719557918834, 0.13231588089593002, 0.131428714876184, 0.17558026904895194, 0.12297825940399251, 0.15023543371451425, 0.10086956500928101, 0.12638447379165782, 0.12839544073796968]",randomized
Folk_Income_Data,"[0.17128224582701065, 0.16250559284116334, 0.14232394366197185, 0.21250000000000002, 0.13186513017498933, 0.16706739526411657, 0.12000000000000001, 0.16933333333333334, 0.13333333333333333]",random_selection
Folk_Income_Data,"[0.14560758017154382, 0.11415837494738777, 0.10694740892088034, 0.15876808752873467, 0.10659911224644428, 0.14324997746660212, 0.015056280704361215, 0.12557034239904472, 0.155820225287249]",reconcile
