Data,Set Size,Individual MSE,number of random models,Method,MSE
German_Data,8,"[0.1749, 0.1777, 0.1792, 0.1832, 0.2036, 0.2189, 0.1641, 0.2434]",0,mode,0.192
German_Data,8,"[0.1749, 0.1777, 0.1792, 0.1832, 0.2036, 0.2189, 0.1641, 0.2434]",0,randomized,0.204
German_Data,8,"[0.1749, 0.1777, 0.1792, 0.1832, 0.2036, 0.2189, 0.1641, 0.2434]",0,random_selection,0.179
German_Data,8,"[0.1749, 0.1777, 0.1792, 0.1832, 0.2036, 0.2189, 0.1641, 0.2434]",0,sequential reconcile,0.168
German_Data,8,"[0.1749, 0.1777, 0.1792, 0.1832, 0.2036, 0.2189, 0.25, 0.2434]",1,mode,0.192
German_Data,8,"[0.1749, 0.1777, 0.1792, 0.1832, 0.2036, 0.2189, 0.25, 0.2434]",1,randomized,0.197
German_Data,8,"[0.1749, 0.1777, 0.1792, 0.1832, 0.2036, 0.2189, 0.25, 0.2434]",1,random_selection,0.25
German_Data,8,"[0.1749, 0.1777, 0.1792, 0.1832, 0.2036, 0.2189, 0.25, 0.2434]",1,sequential reconcile,0.189
German_Data,8,"[0.1749, 0.1777, 0.1792, 0.1832, 0.25, 0.2189, 0.25, 0.2434]",2,mode,0.249
German_Data,8,"[0.1749, 0.1777, 0.1792, 0.1832, 0.25, 0.2189, 0.25, 0.2434]",2,randomized,0.199
German_Data,8,"[0.1749, 0.1777, 0.1792, 0.1832, 0.25, 0.2189, 0.25, 0.2434]",2,random_selection,0.243
German_Data,8,"[0.1749, 0.1777, 0.1792, 0.1832, 0.25, 0.2189, 0.25, 0.2434]",2,sequential reconcile,0.177
German_Data,8,"[0.1749, 0.25, 0.1792, 0.1832, 0.25, 0.2189, 0.25, 0.2434]",3,mode,0.25
German_Data,8,"[0.1749, 0.25, 0.1792, 0.1832, 0.25, 0.2189, 0.25, 0.2434]",3,randomized,0.233
German_Data,8,"[0.1749, 0.25, 0.1792, 0.1832, 0.25, 0.2189, 0.25, 0.2434]",3,random_selection,0.243
German_Data,8,"[0.1749, 0.25, 0.1792, 0.1832, 0.25, 0.2189, 0.25, 0.2434]",3,sequential reconcile,0.176
German_Data,8,"[0.25, 0.25, 0.1792, 0.1832, 0.25, 0.2189, 0.25, 0.2434]",4,mode,0.25
German_Data,8,"[0.25, 0.25, 0.1792, 0.1832, 0.25, 0.2189, 0.25, 0.2434]",4,randomized,0.21
German_Data,8,"[0.25, 0.25, 0.1792, 0.1832, 0.25, 0.2189, 0.25, 0.2434]",4,random_selection,0.219
German_Data,8,"[0.25, 0.25, 0.1792, 0.1832, 0.25, 0.2189, 0.25, 0.2434]",4,sequential reconcile,0.175
German_Data,8,"[0.25, 0.25, 0.1792, 0.1832, 0.25, 0.2189, 0.25, 0.25]",5,mode,0.25
German_Data,8,"[0.25, 0.25, 0.1792, 0.1832, 0.25, 0.2189, 0.25, 0.25]",5,randomized,0.228
German_Data,8,"[0.25, 0.25, 0.1792, 0.1832, 0.25, 0.2189, 0.25, 0.25]",5,random_selection,0.179
German_Data,8,"[0.25, 0.25, 0.1792, 0.1832, 0.25, 0.2189, 0.25, 0.25]",5,sequential reconcile,0.183
German_Data,8,"[0.25, 0.25, 0.1792, 0.25, 0.25, 0.2189, 0.25, 0.25]",6,mode,0.25
German_Data,8,"[0.25, 0.25, 0.1792, 0.25, 0.25, 0.2189, 0.25, 0.25]",6,randomized,0.235
German_Data,8,"[0.25, 0.25, 0.1792, 0.25, 0.25, 0.2189, 0.25, 0.25]",6,random_selection,0.25
German_Data,8,"[0.25, 0.25, 0.1792, 0.25, 0.25, 0.2189, 0.25, 0.25]",6,sequential reconcile,0.179
German_Data,8,"[0.25, 0.25, 0.1792, 0.25, 0.25, 0.25, 0.25, 0.25]",7,mode,0.25
German_Data,8,"[0.25, 0.25, 0.1792, 0.25, 0.25, 0.25, 0.25, 0.25]",7,randomized,0.239
German_Data,8,"[0.25, 0.25, 0.1792, 0.25, 0.25, 0.25, 0.25, 0.25]",7,random_selection,0.25
German_Data,8,"[0.25, 0.25, 0.1792, 0.25, 0.25, 0.25, 0.25, 0.25]",7,sequential reconcile,0.175
German_Data,8,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",8,mode,0.25
German_Data,8,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",8,randomized,0.25
German_Data,8,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",8,random_selection,0.25
German_Data,8,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",8,sequential reconcile,0.25
Folk_Income_Data,9,"[0.1366, 0.1421, 0.1333, 0.1335, 0.1655, 0.1814, 0.1463, 0.1449, 0.242]",0,mode,0.146
Folk_Income_Data,9,"[0.1366, 0.1421, 0.1333, 0.1335, 0.1655, 0.1814, 0.1463, 0.1449, 0.242]",0,randomized,0.159
Folk_Income_Data,9,"[0.1366, 0.1421, 0.1333, 0.1335, 0.1655, 0.1814, 0.1463, 0.1449, 0.242]",0,random_selection,0.242
Folk_Income_Data,9,"[0.1366, 0.1421, 0.1333, 0.1335, 0.1655, 0.1814, 0.1463, 0.1449, 0.242]",0,sequential reconcile,0.133
Folk_Income_Data,9,"[0.25, 0.1421, 0.1333, 0.1335, 0.1655, 0.1814, 0.1463, 0.1449, 0.242]",1,mode,0.184
Folk_Income_Data,9,"[0.25, 0.1421, 0.1333, 0.1335, 0.1655, 0.1814, 0.1463, 0.1449, 0.242]",1,randomized,0.171
Folk_Income_Data,9,"[0.25, 0.1421, 0.1333, 0.1335, 0.1655, 0.1814, 0.1463, 0.1449, 0.242]",1,random_selection,0.25
