Data,Method,Measure,Value
German_Data,M,variance in predictions,"DescribeResult(nobs=200, minmax=(0.00010903966991198575, 0.12685432341656697), mean=0.020648802841561745, variance=0.00048104555988087515, skewness=1.9897329082076176, kurtosis=4.5224725463394595)"
German_Data,M,ambiguity,0.362
German_Data,M,discrepancy,0.235
German_Data,M,disagreement,"DescribeResult(nobs=28, minmax=(0.0, 0.2275), mean=0.12258928571428572, variance=0.004334482473544974, skewness=-0.30140838494507466, kurtosis=-1.1173621907359397)"
German_Data,a,variance in predictions,"DescribeResult(nobs=200, minmax=(9.714443319431456e-05, 0.04728594598896014), mean=0.010293663106815098, variance=5.9131733590192925e-05, skewness=1.4591864693694265, kurtosis=3.006243081372097)"
German_Data,a,ambiguity,0.375
German_Data,a,discrepancy,0.208
German_Data,a,disagreement,"DescribeResult(nobs=1540, minmax=(0.0, 0.225), mean=0.07281493506493507, variance=0.0021826736559412, skewness=0.41281297457125166, kurtosis=-0.19494176662318363)"
German_Data,b,variance in predictions,"DescribeResult(nobs=200, minmax=(8.823296460037481e-05, 0.035303742423474005), mean=0.008647218389818074, variance=4.9430777563620146e-05, skewness=1.3477645888770162, kurtosis=1.6682243602451123)"
German_Data,b,ambiguity,0.31
German_Data,b,discrepancy,0.183
German_Data,b,disagreement,"DescribeResult(nobs=378, minmax=(0.0, 0.16), mean=0.06114417989417989, variance=0.0018649174859304166, skewness=0.29687641076060534, kurtosis=-0.726602787755708)"
German_Data,c,variance in predictions,"DescribeResult(nobs=200, minmax=(8.679687079089049e-05, 0.04581073336831871), mean=0.00917590107416049, variance=6.786993458207137e-05, skewness=1.6808327438825341, kurtosis=3.0271662525409546)"
German_Data,c,ambiguity,0.244
German_Data,c,discrepancy,0.143
German_Data,c,disagreement,"DescribeResult(nobs=28, minmax=(0.0, 0.1475), mean=0.06633928571428571, variance=0.0018951306216931213, skewness=-0.11778420131885654, kurtosis=-1.0880534157836295)"
German_Data,d,variance in predictions,"DescribeResult(nobs=200, minmax=(1.3426650869785338e-05, 0.06921933212755997), mean=0.007943434856913907, variance=0.00013353471816618574, skewness=2.7327657938914927, kurtosis=9.113961007853582)"
German_Data,d,ambiguity,0.19
German_Data,d,discrepancy,0.177
German_Data,d,disagreement,"DescribeResult(nobs=21, minmax=(0.0, 0.1575), mean=0.04488095238095238, variance=0.005287797619047619, skewness=0.9488456611743913, kurtosis=-1.099455726803948)"
Folk_Income_Data,M,variance in predictions,"DescribeResult(nobs=19785, minmax=(0.0017817079217861808, 0.14079055343224411), mean=0.024187894914080462, variance=0.00017858666929780685, skewness=2.6948444106850347, kurtosis=11.806523226815159)"
Folk_Income_Data,M,ambiguity,0.469
Folk_Income_Data,M,discrepancy,0.352
Folk_Income_Data,M,disagreement,"DescribeResult(nobs=36, minmax=(0.0, 0.37604245640636846), mean=0.15164757251565442, variance=0.013478779540789302, skewness=0.6658831494256707, kurtosis=-0.7645146040620823)"
Folk_Income_Data,a,variance in predictions,"DescribeResult(nobs=19785, minmax=(0.0005341856852922588, 0.08540506406431625), mean=0.009558614646542618, variance=7.031958100880227e-05, skewness=2.205283885628022, kurtosis=8.240512039700764)"
Folk_Income_Data,a,ambiguity,0.381
Folk_Income_Data,a,discrepancy,0.213
Folk_Income_Data,a,disagreement,"DescribeResult(nobs=2556, minmax=(0.0, 0.1995451099317665), mean=0.06428590920470173, variance=0.002166473905807102, skewness=0.4499715183695789, kurtosis=-0.5464378493742559)"
Folk_Income_Data,b,variance in predictions,"DescribeResult(nobs=19785, minmax=(2.2625556972616558e-05, 0.080648654772239), mean=0.008261110831603387, variance=6.413367319803747e-05, skewness=2.184740868141425, kurtosis=7.5141119840593475)"
Folk_Income_Data,b,ambiguity,0.307
Folk_Income_Data,b,discrepancy,0.182
Folk_Income_Data,b,disagreement,"DescribeResult(nobs=630, minmax=(0.0, 0.19423805913570888), mean=0.05577365408297933, variance=0.0022599406682411167, skewness=0.5667888849296685, kurtosis=-0.5510010060226915)"
Folk_Income_Data,c,variance in predictions,"DescribeResult(nobs=19785, minmax=(1.8969380147060922e-05, 0.12390921509324901), mean=0.008026856113854251, variance=0.00010362972299793297, skewness=3.781402999168925, kurtosis=22.408963687140293)"
Folk_Income_Data,c,ambiguity,0.217
Folk_Income_Data,c,discrepancy,0.132
Folk_Income_Data,c,disagreement,"DescribeResult(nobs=36, minmax=(0.0, 0.11263583522870861), mean=0.05269494285794513, variance=0.0012144373507964063, skewness=0.1548320594650946, kurtosis=-1.177389386738767)"
Folk_Income_Data,d,variance in predictions,"DescribeResult(nobs=19785, minmax=(6.64735236401412e-06, 0.08156854051947118), mean=0.006287677622588775, variance=5.289386520728556e-05, skewness=2.7654540673260795, kurtosis=12.507781281367432)"
Folk_Income_Data,d,ambiguity,0.187
Folk_Income_Data,d,discrepancy,0.11
Folk_Income_Data,d,disagreement,"DescribeResult(nobs=28, minmax=(0.0, 0.09305029062421026), mean=0.03754828694176685, variance=0.0009321660861658468, skewness=0.33794242761162413, kurtosis=-1.1024020181130836)"
Folk_Travel_Data,M,variance in predictions,"DescribeResult(nobs=17615, minmax=(3.970603675765659e-06, 0.1268004849132), mean=0.0052985522496924115, variance=7.842462994354106e-05, skewness=5.665927434695011, kurtosis=46.19454178761335)"
Folk_Travel_Data,M,ambiguity,0.149
Folk_Travel_Data,M,discrepancy,0.108
